"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | BMW | Ford | Honda | Mercedes-Benz | Subaru | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD78B7254"
"ColumnCount:",6
"RowCount:",552

"Time","All Types, BMW, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #"
"07/1988",40,2062,524,48,74
"08/1988",52,1950,600,42,82
"09/1988",34,2004,506,18,68
"10/1988",34,2176,436,44,82
"11/1988",40,1918,342,44,80
"12/1988",50,1984,308,44,80
"01/1989",26,1622,288,18,76
"02/1989",20,1446,238,32,34
"03/1989",28,1640,358,24,54
"04/1989",40,1784,402,22,70
"05/1989",50,1824,490,16,52
"06/1989",40,1844,446,28,72
"07/1989",48,1914,576,34,72
"08/1989",26,1946,500,38,92
"09/1989",46,1978,464,28,84
"10/1989",18,1964,416,44,92
"11/1989",34,1858,346,18,84
"12/1989",44,2074,360,34,98
"01/1990",26,1666,248,30,66
"02/1990",24,1436,250,22,76
"03/1990",26,1704,368,28,72
"04/1990",20,1650,408,24,68
"05/1990",54,1812,428,30,60
"06/1990",34,1840,530,30,60
"07/1990",66,2058,574,36,54
"08/1990",34,1964,544,26,76
"09/1990",40,1836,514,28,94
"10/1990",34,1892,390,32,70
"11/1990",42,1772,372,32,70
"12/1990",48,1764,330,32,66
"01/1991",28,1426,192,22,44
"02/1991",38,1378,188,26,54
"03/1991",26,1474,282,30,50
"04/1991",24,1498,354,18,72
"05/1991",36,1764,482,24,38
"06/1991",32,1834,540,18,62
"07/1991",40,1818,486,22,78
"08/1991",30,1912,498,26,74
"09/1991",38,1702,412,30,68
"10/1991",40,1784,358,24,68
"11/1991",30,1764,316,28,62
"12/1991",32,1726,278,24,66
"01/1992",24,1370,216,36,70
"02/1992",38,1314,238,16,48
"03/1992",12,1282,286,38,42
"04/1992",26,1354,314,16,58
"05/1992",46,1512,410,28,50
"06/1992",48,1668,436,12,76
"07/1992",32,1736,382,24,60
"08/1992",44,1818,424,36,70
"09/1992",30,1602,368,30,52
"10/1992",28,1766,402,22,64
"11/1992",18,1646,362,18,58
"12/1992",46,1776,312,28,86
"01/1993",40,1374,240,18,44
"02/1993",18,1234,234,26,50
"03/1993",30,1410,260,24,48
"04/1993",26,1458,334,26,48
"05/1993",34,1674,398,36,46
"06/1993",66,1614,404,32,42
"07/1993",36,1820,492,28,68
"08/1993",36,1734,486,24,60
"09/1993",38,1706,420,22,56
"10/1993",44,1918,392,38,64
"11/1993",46,1794,332,16,78
"12/1993",30,1764,260,24,64
"01/1994",26,1476,254,20,68
"02/1994",26,1340,264,26,36
"03/1994",36,1456,324,10,42
"04/1994",22,1558,378,28,56
"05/1994",36,1740,406,30,40
"06/1994",36,1668,480,22,96
"07/1994",48,1866,460,30,66
"08/1994",44,1882,474,18,66
"09/1994",48,1784,468,16,58
"10/1994",38,1960,412,36,42
"11/1994",22,1868,338,20,82
"12/1994",42,1852,362,22,66
"01/1995",38,1602,244,36,42
"02/1995",18,1444,280,30,36
"03/1995",34,1672,346,22,68
"04/1995",36,1636,388,30,46
"05/1995",36,1746,424,22,76
"06/1995",50,1700,436,28,64
"07/1995",44,1860,492,22,36
"08/1995",52,2002,562,34,68
"09/1995",26,1862,442,44,56
"10/1995",36,2014,452,34,68
"11/1995",32,1882,376,42,56
"12/1995",48,1854,368,34,50
"01/1996",40,1682,300,24,58
"02/1996",36,1512,274,22,42
"03/1996",24,1642,322,26,68
"04/1996",36,1716,376,24,40
"05/1996",34,1718,436,18,64
"06/1996",50,1826,470,36,82
"07/1996",42,1814,446,14,60
"08/1996",32,2008,484,30,72
"09/1996",34,1812,474,20,48
"10/1996",48,1950,486,24,50
"11/1996",42,1870,404,30,60
"12/1996",36,1946,390,22,62
"01/1997",56,1672,276,12,58
"02/1997",26,1546,324,34,54
"03/1997",34,1622,392,20,58
"04/1997",36,1690,354,26,38
"05/1997",34,2018,480,42,56
"06/1997",34,1858,514,24,70
"07/1997",36,2010,542,26,82
"08/1997",38,2038,532,24,70
"09/1997",30,1708,442,26,48
"10/1997",48,1938,436,38,84
"11/1997",42,1914,368,34,68
"12/1997",36,2008,338,36,80
"01/1998",44,1616,288,22,38
"02/1998",32,1530,316,28,50
"03/1998",36,1666,324,30,32
"04/1998",38,1646,398,28,68
"05/1998",42,1810,450,30,50
"06/1998",24,1892,446,32,52
"07/1998",52,2016,540,36,80
"08/1998",42,2110,512,38,62
"09/1998",38,1876,540,28,58
"10/1998",48,1944,458,46,44
"11/1998",42,1812,434,40,62
"12/1998",40,2138,362,34,46
"01/1999",30,1516,336,20,48
"02/1999",38,1474,308,32,54
"03/1999",26,1630,358,10,32
